timestamp,symbol,entry_price,exit_price,quantity,entry_time,exit_time,pnl,pnl_pct,exit_reason,hold_time_hours,confidence,signal_strength
2025-07-16T16:09:18.539409,BTC-EUR,101890.0,101850.0,0.0037295122190597707,2025-07-16T15:46:39.503606,2025-07-16T16:09:18.539409,-0.14918048876239082,-0.000392580233585239,TRAILING_STOP,0.3775099402777778,0.95,WEAK
2025-07-16T19:34:26.657763,BTC-EUR,102850.0,102220.0,0.00369470102090423,2025-07-16T18:50:09.601105,2025-07-16T19:34:26.657763,-2.327661643169665,-0.006125425376762275,TRAILING_STOP,0.7380712894444444,0.95,WEAK
2025-07-16T21:58:54.436930,BTC-EUR,102230.0,102530.0,0.0037162432637930115,2025-07-16T19:35:27.684850,2025-07-16T21:58:54.436930,1.1148729791379035,0.0029345593270077275,TRAILING_STOP,2.3907644613888888,0.95,WEAK
2025-07-16T22:49:19.503805,BTC-EUR,102480.0,101960.0,0.0037075908863267648,2025-07-16T21:59:55.161513,2025-07-16T22:49:19.503805,-1.9279472608899177,-0.00507416081186573,TRAILING_STOP,0.8234284075,0.95,WEAK
2025-07-17T12:08:26.802253,ADA-EUR,0.70334,0.6922,540.2792390593455,2025-07-17T11:45:21.278928,2025-07-17T12:08:26.802253,-6.01871072312107,-0.01583871242926597,STOP_LOSS,0.38486758666666665,0.95,WEAK
2025-07-17T12:08:27.303447,ADA-EUR,0.70424,0.6922,499.35919572872893,2025-07-17T11:46:25.797229,2025-07-17T12:08:27.303447,-6.012284716573866,-0.01709644439395652,STOP_LOSS,0.36708505527777774,0.95,WEAK
2025-07-17T12:08:27.623452,ADA-EUR,0.70424,0.6922,462.12897153197787,2025-07-17T11:47:29.986756,2025-07-17T12:08:27.623452,-5.5640328172449856,-0.01709644439395652,STOP_LOSS,0.34934352305555555,0.95,WEAK
2025-07-17T12:08:28.006320,ADA-EUR,0.70424,0.6922,427.67448393043975,2025-07-17T11:48:34.259453,2025-07-17T12:08:28.006320,-5.149200786522469,-0.01709644439395652,STOP_LOSS,0.3315963480555556,0.95,WEAK
2025-07-17T12:08:28.472884,ADA-EUR,0.70406,0.6922,395.88997247879007,2025-07-17T11:49:44.325002,2025-07-17T12:08:28.472884,-4.695255073598443,-0.0168451552424509,STOP_LOSS,0.3122632966666667,0.95,WEAK
2025-07-17T12:10:38.934918,SOL-EUR,151.94,150.89,2.4059497169935504,2025-07-17T11:45:23.118199,2025-07-17T12:10:38.934918,-2.526247202843255,-0.006910622614189886,TRAILING_STOP,0.4210601947222222,0.95,WEAK
