window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
3,0.09902788048990174,0.10080388965427743,0.9629156010230179,0.041666666666666664,0.14285714285714285,0.06451612903225806,0.383963133640553,0.2,0.14285714285714285,0.16666666666666666,0.08333333333333333,0.14285714285714285,0.10526315789473685,782,0.008951406649616368,BTCEUR,2020-03-03,2020-06-03,2020-07-05
4,0.5331687790851087,0.680072972088399,0.8691520467836257,0.006134969325153374,0.05555555555555555,0.011049723756906079,0.31193415637860084,0.0,0.0,0.0,0.008620689655172414,0.05555555555555555,0.014925373134328358,1368,0.013157894736842105,BTCEUR,2020-04-03,2020-07-03,2020-08-05
5,0.83933431194268,0.9099359272466683,0.7816826411075612,0.01507537688442211,0.25,0.02843601895734597,0.5711125094889928,0.025089605734767026,0.19444444444444445,0.044444444444444446,0.016494845360824743,0.2222222222222222,0.03071017274472169,2817,0.012779552715654952,BTCEUR,2020-05-03,2020-08-03,2020-09-05
6,0.022925198453773745,0.023388822331590276,0.9871794871794872,0.0,0.0,0.0,0.6608092705167173,0.0,0.0,0.0,0.0,0.0,0.0,2652,0.007541478129713424,BTCEUR,2020-06-03,2020-09-03,2020-10-05
7,9.316000571860469e-05,0.00012370178773235722,0.9661266568483063,0.0392156862745098,0.044444444444444446,0.041666666666666664,0.5055326760680561,0.04878048780487805,0.044444444444444446,0.046511627906976744,0.0425531914893617,0.044444444444444446,0.04347826086956522,2716,0.016568483063328424,BTCEUR,2020-07-03,2020-10-03,2020-11-05
8,7.985012794889214e-08,2.078356846731571e-07,0.9610939907550077,0.0,0.0,0.0,0.5229250580368658,0.0,0.0,0.0,0.0,0.0,0.0,2596,0.038906009244992296,BTCEUR,2020-08-03,2020-11-03,2020-12-05
9,3.202828034922137e-09,8.423667441529484e-09,0.908406026962728,0.07272727272727272,0.058394160583941604,0.06477732793522266,0.4545425331680668,0.06976744186046512,0.021897810218978103,0.03333333333333333,0.1095890410958904,0.058394160583941604,0.0761904761904762,2522,0.054321966693100715,BTCEUR,2020-09-03,2020-12-03,2021-01-05
10,0.1753472231523918,0.4187448164923207,0.7368055555555556,0.26127819548872183,0.2757936507936508,0.26833976833976836,0.5780222863556197,0.29357798165137616,0.19047619047619047,0.23104693140794225,0.2871046228710462,0.23412698412698413,0.2579234972677596,2880,0.175,BTCEUR,2020-10-03,2021-01-03,2021-02-05
11,0.14475271427423167,0.3804638142373533,0.32904263877715206,0.159375,0.85,0.26842105263157895,0.6276588794815512,0.0,0.0,0.0,0.0,0.0,0.0,2486,0.14481094127111827,BTCEUR,2020-11-03,2021-02-03,2021-03-05
12,4.57660789778292e-11,5.4687503656122086e-11,0.9309701492537313,0.12087912087912088,0.09482758620689655,0.10628019323671499,0.6412461670880629,0.29411764705882354,0.04310344827586207,0.07518796992481204,0.17073170731707318,0.0603448275862069,0.089171974522293,2680,0.04328358208955224,BTCEUR,2020-12-03,2021-03-03,2021-04-05
