window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.0026046516298959765,0.003839845950845755,0.7210604929051531,0.40404040404040403,0.23845007451564829,0.29990627928772257,0.6283566385014594,0.3157894736842105,0.01788375558867362,0.033850493653032436,0.4421768707482993,0.09687034277198212,0.15892420537897312,2678,0.25056011949215834,BTCEUR,2020-01-03,2020-04-03,2020-05-03
2,0.0024916996560370754,0.004171581082360464,0.737874097007224,0.35945945945945945,0.20212765957446807,0.25875486381322954,0.6009851051666327,0.36363636363636365,0.0121580547112462,0.023529411764705882,0.36496350364963503,0.07598784194528875,0.12578616352201258,2907,0.2263501891984864,BTCEUR,2020-02-03,2020-05-03,2020-06-03
3,0.0014503947855377054,0.0021331722710297043,0.7663551401869159,0.19109461966604824,0.3249211356466877,0.24065420560747663,0.6065574190080688,0.0,0.0,0.0,0.21084337349397592,0.11041009463722397,0.14492753623188406,2782,0.11394680086268871,BTCEUR,2020-03-03,2020-06-03,2020-07-03
4,0.0014158824261793351,0.00272192137648959,0.848495330335524,0.29591836734693877,0.27358490566037735,0.28431372549019607,0.7170055755584726,0.32608695652173914,0.04716981132075472,0.08241758241758243,0.3488372093023256,0.14150943396226415,0.20134228187919462,2891,0.10999654098927707,BTCEUR,2020-04-03,2020-07-03,2020-08-03
5,0.0019341938594863493,0.0026237832126581075,0.7908093278463649,0.2552204176334107,0.2756892230576441,0.26506024096385544,0.644033604073752,0.38571428571428573,0.06766917293233082,0.11513859275053304,0.328042328042328,0.15538847117794485,0.21088435374149658,2916,0.1368312757201646,BTCEUR,2020-05-03,2020-08-03,2020-09-03
6,0.0016619310915715786,0.0025620486176302078,0.849290780141844,0.31343283582089554,0.112,0.1650294695481336,0.6166304021813225,0.425,0.04533333333333334,0.0819277108433735,0.4,0.07466666666666667,0.1258426966292135,2820,0.13297872340425532,BTCEUR,2020-06-03,2020-09-03,2020-10-03
7,0.0015261786171421753,0.0023121893967256064,0.8573388203017832,0.2689075630252101,0.0886426592797784,0.13333333333333333,0.6594239745000569,0.5,0.027700831024930747,0.05249343832020997,0.3793103448275862,0.060941828254847646,0.10501193317422435,2916,0.1237997256515775,BTCEUR,2020-07-03,2020-10-03,2020-11-03
8,0.05333122382165061,0.06308762487347812,0.7052556818181818,0.3372093023255814,0.11662198391420911,0.17330677290836652,0.5626063643781326,0.48717948717948717,0.02546916890080429,0.048407643312101914,0.38392857142857145,0.057640750670241284,0.10023310023310024,2816,0.2649147727272727,BTCEUR,2020-08-03,2020-11-03,2020-12-03
